nro,tproc,as,ccon,finicio,fdesp,fvenc1,fvenc2,fres,tres,mat,justiciables,reccap,iep
16330,MONITORIO EJECUTIVO,S,0,06/10/2017,05/02/2018,21/02/2018,07/03/2018,08/02/2018,8,NA,2,5565,jdopaz0000con
35014,MONITORIO APREMIO,S,0,26/12/2017,19/02/2018,05/03/2018,19/03/2018,19/02/2018,8,NA,2,6627.94,jdopaz0100pna
13419/C/S1 Fº48,HOMOLOGACION DE CONVENIO (CIVIL),S,1,01/12/2017,05/02/2018,21/02/2018,28/02/2018,23/02/2018,7,F,1,0,jdofam0100uru
49040,MONITORIO EJECUTIVO,S,0,22/12/2017,09/02/2018,27/02/2018,13/03/2018,09/02/2018,8,NA,2,38648.88,jdocco1001pna
4351,VIOLENCIA FAMILIAR,S,0,02/02/2018,08/02/2018,11/02/2018,NA,08/02/2018,NA,NA,2,0,jdofam0000nog
489/17,MONITORIO EJECUTIVO,S,0,30/06/2017,05/10/2017,20/10/2017,NA,05/02/2018,8,C,2,0,jdopaz0000vil
34967,MONITORIO EJECUTIVO,S,0,27/12/2017,06/02/2018,20/02/2018,06/03/2018,06/02/2018,8,NA,2,771,jdopaz0200pna
8361,DESALOJO,S,0,01/06/2017,29/11/2017,02/03/2018,04/05/2018,09/02/2018,10,C,2,0,jdocco0000tal
3240/L,COBRO DE PESOS,s,1,07/02/2018,15/02/2018,28/02/2018,14/03/2018,19/02/2018,4,L,2,0,jdocco0000ssa
"000297/16""L""",EJECUCION DE HONORARIOS,S,1,18/10/2016,15/02/2018,01/03/2018,15/03/2018,23/02/2018,10,L,2,0,jdocco0200cha
34663,MONITORIO APREMIO,S,0,29/12/2017,23/02/2018,09/03/2018,23/03/2018,23/02/2018,8,NA,2,6035.43,jdopaz0100pna
34800,MONITORIO APREMIO,S,0,26/12/2017,19/02/2018,05/03/2018,19/03/2018,19/02/2018,8,NA,2,8473.1,jdopaz0200pna
4755/17,MONITORIO EJECUTIVO,S,1,27/12/2017,02/02/2018,20/02/2018,06/03/2018,26/02/2018,8,C,2,0,jdopaz0000cha
34999,MONITORIO EJECUTIVO,S,0,27/12/2017,16/02/2018,02/03/2018,16/03/2018,16/02/2018,8,NA,2,1316.6,jdopaz0200pna
34218,MONITORIO APREMIO,S,0,21/12/2017,05/02/2018,19/02/2018,05/03/2018,05/02/2018,8,NA,2,11122.64,jdopaz0100pna
49253,MONITORIO APREMIO,S,0,29/12/2017,15/02/2018,01/03/2018,15/03/2018,15/02/2018,8,NA,2,37639,jdocco1001pna
34316,MONITORIO APREMIO,S,0,12/12/2017,08/02/2018,26/02/2018,12/03/2018,08/02/2018,8,NA,2,10053.31,jdopaz0200pna
11796,BENEFICIO DE LITIGAR SIN GASTOS,S,0,26/07/2016,19/02/2018,05/03/2018,19/03/2018,28/02/2018,NA,C,1,0,jdocco0100con
6672,DECLARACION DE INCAPACIDAD,S,0,20/12/2013,24/11/2017,18/12/2017,09/02/2018,09/02/2018,7,NA,1,0,jdofam0000dia
49292,MONITORIO APREMIO,S,0,29/12/2017,19/02/2018,05/03/2018,19/03/2018,19/02/2018,8,NA,2,28218.94,jdocco1002pna
4962Fº232-2017,MONITORIO EJECUTIVO,S,1,27/12/2017,20/02/2018,06/03/2018,20/03/2018,20/02/2018,8,NA,2,0,jdopaz0000col
34193,MONITORIO APREMIO,S,0,20/12/2017,01/02/2018,15/02/2018,01/03/2018,01/02/2018,8,NA,2,5878.96,jdopaz0100pna
20586,SUPLENCIA DE PARTIDA,S,0,01/02/2018,27/02/2018,13/03/2018,27/03/2018,27/02/2018,7,F,1,0,jdofam0300pna
13153,USUCAPION,S,1,20/12/2016,19/12/2017,05/02/2018,21/02/2018,16/02/2018,10,C,2,0,jdocco0000vic
34376,MONITORIO APREMIO,S,0,12/12/2017,27/02/2018,13/03/2018,27/03/2018,27/02/2018,8,NA,2,18265.17,jdopaz0200pna
34946,MONITORIO APREMIO,S,0,27/12/2017,08/02/2018,26/02/2018,12/03/2018,08/02/2018,8,NA,2,2137.76,jdopaz0200pna
34643,MONITORIO EJECUTIVO,S,0,20/12/2017,06/02/2018,20/02/2018,06/03/2018,06/02/2018,8,NA,2,3941.5,jdopaz0200pna
22801,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,0,21/02/2018,27/02/2018,06/03/2018,13/03/2018,27/02/2018,NA,NA,2,0,jdofam0100pna
48954,MONITORIO APREMIO,S,0,22/12/2017,07/02/2018,23/02/2018,09/03/2018,07/02/2018,8,NA,2,89786.22,jdocco1002pna
34478,MONITORIO APREMIO,S,0,12/12/2017,08/02/2018,26/02/2018,12/03/2018,08/02/2018,8,NA,2,14816.86,jdopaz0200pna
35137,MONITORIO EJECUTIVO,S,0,29/12/2017,21/02/2018,07/03/2018,21/03/2018,21/02/2018,8,NA,2,3397,jdopaz0200pna
3105/C,MONITORIO,S,1,01/02/2018,06/02/2018,22/02/2018,08/03/2018,07/02/2018,NA,NA,2,74219.11,jdocco0302uru
21391,APREMIO,S,0,10/03/2017,22/02/2018,08/03/2018,22/03/2018,26/02/2018,10,NA,2,284315.44,jdocco0501con
2310,MONITORIO EJECUTIVO,S,1,12/10/2017,23/02/2018,09/03/2018,NA,28/02/2018,8,NA,1,0,jdopaz0000nog
12123/C/S1 Fº10,VIOLENCIA DE GENERO,S,1,21/07/2016,06/02/2018,15/02/2018,15/02/2018,21/02/2018,7,F,1,0,jdofam0002uru
49238,MONITORIO APREMIO,S,0,29/12/2017,28/02/2018,14/03/2018,28/03/2018,28/02/2018,8,NA,2,30513.86,jdocco1001pna
49679,MONITORIO APREMIO,S,0,16/02/2018,28/02/2018,14/03/2018,28/03/2018,28/02/2018,8,NA,2,35068.85,jdocco1001pna
4858,MONITORIO EJECUTIVO,S,1,22/08/2016,20/12/2017,02/02/2018,22/02/2018,20/02/2018,8,C,2,0,jdocco0100lpa
3981,MONITORIO APREMIO,S,1,27/12/2017,23/02/2018,09/03/2018,23/03/2018,28/02/2018,8,C,2,0,jdopaz0000vic
33801,MONITORIO EJECUTIVO,S,0,26/10/2017,09/02/2018,27/02/2018,13/03/2018,09/02/2018,8,NA,2,8516,jdopaz0200pna
2844/F,ORDINARIO FILIACION E INDEMNIZACION DE DAÑOS,S,1,12/06/2017,13/10/2017,12/12/2017,12/03/2018,15/02/2018,0,F,3,0,jdocco0000ssa
48856,MONITORIO EJECUTIVO,S,0,18/12/2017,05/02/2018,21/02/2018,07/03/2018,05/02/2018,8,NA,2,55940.13,jdocco1001pna
22955,MONITORIO APREMIO,S,0,28/12/2017,14/02/2018,28/02/2018,14/03/2018,15/02/2018,8,NA,2,50049.44,jdocco0501con
13171/C/S1 Fº3,ALIMENTOS,S,1,09/05/2016,22/02/2018,22/02/2018,22/02/2018,22/02/2018,7,F,3,0,jdofam0100uru
34640,MONITORIO EJECUTIVO,S,0,20/12/2017,02/02/2018,16/02/2018,02/03/2018,02/02/2018,8,NA,2,1219.7,jdopaz0200pna
1419,ORDINARIO DIVORCIO,S,0,19/10/2016,22/12/2017,22/03/2018,NA,01/02/2018,NA,NA,2,0,jdofam0000tal
15917,EJECUTIVO,S,0,24/07/2017,27/12/2017,14/02/2018,26/02/2018,02/02/2018,10,NA,2,18500,jdopaz0000con
1514,RESTRICCIONES A LA CAPACIDAD,S,0,14/05/2009,21/11/2017,14/12/2017,07/02/2018,07/02/2018,7,NA,1,0,jdofam0000dia
34921,MONITORIO APREMIO,S,0,26/12/2017,22/02/2018,08/03/2018,22/03/2018,22/02/2018,8,NA,2,5750.18,jdopaz0200pna
14143,MONITORIO APREMIO,S,0,01/02/2018,09/02/2018,27/02/2018,NA,27/02/2018,8,NA,3,16438.2,jdopaz0000uru
20149,MEDIDA DE PROTECCION DE PERSONA,S,0,22/03/2017,17/10/2017,30/10/2017,14/11/2017,14/02/2018,NA,NA,2,0,jdofam0400pna
483/17,MONITORIO EJECUTIVO,S,0,30/06/2017,05/10/2017,05/10/2017,NA,02/02/2018,8,C,2,0,jdopaz0000vil
35124,MONITORIO APREMIO,S,0,29/12/2017,20/02/2018,06/03/2018,20/03/2018,20/03/2018,8,NA,2,6222.99,jdopaz0200pna
35069,MONITORIO APREMIO,S,0,29/12/2017,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,2,5684.87,jdopaz0100pna
6753,MONITORIO EJECUTIVO,S,0,23/10/2017,16/02/2018,02/03/2018,16/03/2018,16/02/2018,8,NA,2,0,jdocco0300gch
4967Fº232-2017,MONITORIO EJECUTIVO,S,1,27/12/2017,20/02/2018,06/03/2018,20/03/2018,20/02/2018,8,NA,2,0,jdopaz0000col
34081,MONITORIO APREMIO,S,0,13/12/2017,09/02/2018,27/02/2018,13/03/2018,09/02/2018,8,NA,2,3606.4,jdopaz0100pna
12292/C/S1 Fº42,ORDINARIO IMPUGNACION DE PATERNIDAD,S,1,22/09/2016,11/12/2017,09/02/2018,09/03/2018,08/02/2018,7,F,2,0,jdofam0002uru
16343,MONITORIO EJECUTIVO,S,0,06/10/2017,05/02/2018,21/02/2018,07/03/2018,08/02/2018,8,NA,2,3606.94,jdopaz0000con
35118,MONITORIO APREMIO,S,0,29/12/2017,19/02/2018,05/03/2018,19/03/2018,19/02/2018,8,NA,2,1100.52,jdopaz0200pna
12273/C/S1 Fº38,VIOLENCIA FAMILIAR,S,1,19/09/2016,06/02/2018,15/02/2018,15/02/2018,21/02/2018,7,F,1,0,jdofam0100uru
578/17,MONITORIO EJECUTIVO,S,0,01/09/2017,10/11/2017,28/11/2017,NA,28/02/2018,8,C,2,0,jdopaz0000vil
34631,MONITORIO EJECUTIVO,s,0,27/12/2017,06/02/2018,20/02/2018,06/03/2018,06/02/2018,8,NA,2,1403.6,jdopaz0100pna
49368,MONITORIO APREMIO,S,0,01/02/2018,14/02/2018,28/02/2018,14/03/2018,14/02/2018,8,NA,2,332944.4,jdocco1001pna
14459,EJECUTIVO,S,0,14/12/2016,28/12/2017,15/02/2018,27/02/2018,05/02/2018,10,NA,2,6100,jdopaz0000con
468/17,MONITORIO EJECUTIVO,S,0,30/06/2017,05/10/2017,20/10/2017,NA,01/12/2018,8,C,2,0,jdopaz0000vil
4591/17,APREMIO,S,1,02/11/2017,26/12/2017,09/02/2018,27/02/2018,05/02/2018,10,C,2,0,jdopaz0000cha
3990,EJECUTIVO,S,1,14/09/2016,16/02/2018,02/03/2018,NA,20/02/2018,10,NA,2,0,jdopaz0000gch
34907,MONITORIO APREMIO,S,0,29/12/2017,22/02/2018,08/03/2018,22/03/2018,22/02/2018,8,NA,2,5598.85,jdopaz0100pna
1949,MONITORIO APREMIO,S,1,11/12/2017,26/12/2017,02/02/2018,09/02/2018,01/02/2018,8,C,1,0,jdopen0000fel
6893,MONITORIO EJECUTIVO,S,0,28/12/2017,23/02/2018,09/03/2018,23/03/2018,23/02/2018,8,NA,2,0,jdocco0300gch
15825,EJECUCION DE HONORARIOS,S,0,07/09/2017,06/02/2018,22/02/2018,08/03/2018,06/02/2018,10,NA,2,0,jdocco0600pna
5681,MONITORIO APREMIO,S,0,21/02/2018,21/02/2018,08/03/2018,NA,08/03/2018,8,NA,1,0,jdopaz0000gay
35299,MONITORIO APREMIO,S,0,01/02/2018,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,2,18292.63,jdopaz0100pna
5120,EJECUTIVO,S,0,29/12/2016,20/02/2018,07/03/2018,NA,07/03/2018,10,NA,2,18837,jdopaz0000gay
3712,RESTRICCIONES A LA CAPACIDAD,S,0,29/12/2016,17/10/2017,31/10/2017,14/11/2017,20/02/2018,7,F,2,0,jdofam0000vil
49412,MONITORIO APREMIO,S,0,01/02/2018,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,2,243247.56,jdocco1002pna
34601,MONITORIO EJECUTIVO,s,0,27/12/2017,20/02/2018,06/03/2018,20/03/2018,20/02/2018,8,NA,2,5500,jdopaz0100pna
8109,EJECUCION DE HONORARIOS,S,1,06/11/2017,07/02/2018,23/02/2018,NA,15/02/2018,10,C,1,0,jdocco0200gay
34634,MONITORIO APREMIO,S,0,27/12/2017,05/02/2018,06/02/2018,05/03/2018,05/02/2018,8,NA,2,3545.39,jdopaz0100pna
49305,MONITORIO APREMIO,S,0,29/12/2017,22/02/2018,08/03/2018,22/03/2018,22/02/2018,8,NA,2,172134.39,jdocco1002pna
4446/17,EJECUTIVO,S,1,31/05/2017,08/02/2018,26/02/2018,12/03/2018,22/02/2018,10,C,2,0,jdopaz0000cha
34359,MONITORIO EJECUTIVO,S,0,22/12/2017,14/02/2018,28/02/2018,14/03/2018,14/02/2018,8,NA,2,18589.44,jdopaz0100pna
2057,DIVORCIO,S,0,09/09/2016,14/02/2018,28/02/2018,26/03/2018,27/02/2018,NA,NA,2,0,jdofam0000nog
19.754,DIVORCIO,S,1,25/10/2017,14/02/2018,16/04/2018,14/06/2018,14/02/2018,7,F,2,0,jdofam0201con
33001,PREPARACION DE LA VIA EJECUTIVA,S,0,12/06/2017,19/02/2018,05/03/2018,19/03/2018,19/02/2018,8,NA,2,2952,jdopaz0200pna
3073/C,MONITORIO,S,1,01/02/2018,05/02/2018,21/02/2018,07/03/2018,06/02/2018,NA,NA,2,35055.61,jdocco0302uru
49066,MONITORIO EJECUTIVO,S,0,22/12/2017,20/02/2018,06/03/2018,20/03/2018,20/02/2018,8,NA,2,70702.8,jdocco1001pna
22729,MONITORIO APREMIO,S,0,15/12/2017,01/02/2018,19/02/2018,05/03/2018,05/02/2018,8,NA,2,27117.73,jdocco0501con
34822,MONITORIO APREMIO,S,0,26/12/2017,15/02/2018,01/03/2018,15/03/2018,15/02/2018,8,NA,2,4927.9,jdopaz0200pna
14034,MONITORIO APREMIO,S,0,27/12/2017,06/02/2018,22/02/2018,NA,22/02/2018,8,NA,2,3084.6,jdopaz0000uru
34520,MONITORIO APREMIO,S,0,26/12/2017,15/02/2018,01/03/2018,15/03/2018,15/02/2018,8,NA,7,4246.34,jdopaz0100pna
34014,MONITORIO APREMIO,S,0,12/12/2017,08/02/2018,26/02/2018,12/03/2018,08/02/2018,8,NA,4,14715.96,jdopaz0100pna
22790,MONITORIO APREMIO,S,0,15/12/2017,15/02/2018,01/03/2018,15/03/2018,19/02/2018,8,NA,2,61394.04,jdocco0502con
34841,MONITORIO APREMIO,S,0,26/12/2017,21/02/2018,07/03/2018,21/03/2018,21/02/2018,8,NA,2,3867.5,jdopaz0200pna
34606,MONITORIO EJECUTIVO,S,0,19/12/2017,02/02/2018,16/02/2018,02/03/2018,02/02/2018,8,NA,2,1219.7,jdopaz0200pna
34593,MONITORIO EJECUTIVO,S,0,18/12/2017,05/02/2018,19/02/2018,05/03/2018,05/02/2018,8,NA,2,8841.5,jdopaz0200pna
10374/C-S2 XIII 32,INCIDENTE,S,1,25/11/2016,01/03/2018,03/04/2018,04/05/2018,01/03/2018,7,F,2,0,jdofam0100uru
23016,MONITORIO APREMIO,S,0,29/12/2017,08/02/2018,26/02/2018,12/03/2018,26/02/2018,8,NA,2,55174,jdocco0502con
35152,MONITORIO EJECUTIVO,S,0,29/12/2017,21/02/2018,07/03/2018,21/03/2018,21/02/2018,8,NA,2,1860.7,jdopaz0200pna
22906,MONITORIO EJECUTIVO,S,0,27/12/2017,08/02/2018,26/02/2018,12/03/2018,26/02/2018,8,NA,2,70091.81,jdocco0502con
21611,DIVORCIO,S,0,01/02/2018,26/02/2018,12/04/2018,28/05/2018,28/02/2018,NA,NA,2,0,jdofam0400pna
11093/C-S2 Fº 168,ADOPCION DE INTEGRACION,S,1,15/09/2017,18/12/2017,16/03/2018,15/05/2018,09/02/2018,7,F,1,0,jdofam0002uru
2453,ACCION DE AMPARO,S,1,06/02/2018,21/02/2018,24/02/2018,NA,21/02/2018,10,NA,2,0,jdopaz0000nog
2316,MONITORIO EJECUTIVO,S,1,12/10/2017,23/02/2018,09/03/2018,NA,28/02/2018,8,NA,1,0,jdopaz0000nog
34516,MONITORIO APREMIO,S,0,12/12/2017,28/02/2018,14/03/2018,28/03/2018,28/02/2018,8,NA,2,6189.4,jdopaz0200pna
14169,MONITORIO EJECUTIVO,S,0,02/02/2018,27/02/2018,17/03/2018,NA,06/03/2018,8,NA,2,10811.77,jdopaz0000uru
5170,MONITORIO EJECUTIVO,S,1,11/10/2017,02/02/2018,20/02/2018,06/03/2018,01/03/2018,8,C,2,87538.42,jdocco0100lpa
49671,ACCION DE AMPARO,S,1,18/02/2018,22/02/2018,25/02/2018,NA,23/02/2018,NA,NA,2,0,jdocco1002pna
11282,MONITORIO APREMIO,S,8,07/02/2018,15/02/2018,01/03/2018,15/03/2018,15/02/2018,2,NA,2,29.10027,jdocco0200gch
48849,MONITORIO EJECUTIVO,S,0,18/12/2017,07/02/2018,23/02/2018,09/03/2018,07/02/2018,8,NA,2,80043.38,jdocco1001pna
8875,MONITORIO EJECUTIVO,S,0,12/10/2017,16/02/2018,02/03/2018,NA,16/02/2018,8,C,2,0,jdocco0100nog
19.961,ACCION DE AMPARO,S,1,08/02/2018,15/02/2018,18/02/2018,21/02/2018,16/02/2018,7,F,2,0,jdofam0201con
48555,MONITORIO EJECUTIVO,S,0,27/11/2017,05/02/2018,21/02/2018,07/03/2018,05/02/2018,8,NA,2,43634.57,jdocco1002pna
34340,MONITORIO EJECUTIVO,S,0,22/12/2017,09/02/2018,27/02/2018,13/03/2018,09/02/2018,8,NA,2,10409.17,jdopaz0100pna
34965,MONITORIO EJECUTIVO,S,0,29/12/2017,28/02/2018,14/03/2018,28/03/2018,28/02/2018,8,NA,2,3397,jdopaz0100pna
3644,MONITORIO APREMIO,S,0,30/11/2017,06/12/2017,21/12/2017,07/02/2018,21/02/2018,8,NA,2,10803.1,jdopaz0000dia
22565,MONITORIO EJECUTIVO,S,0,23/11/2017,01/02/2018,19/02/2018,05/03/2018,05/02/2018,8,NA,2,21622,jdocco0501con
34777,MONITORIO APREMIO,S,0,26/12/2017,07/02/2018,21/02/2018,07/03/2018,07/02/2018,8,NA,2,4486.24,jdopaz0200pna
35143,MONITORIO EJECUTIVO,S,0,29/12/2017,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,2,3397,jdopaz0200pna
22901,MONITORIO EJECUTIVO,S,0,27/12/2017,09/02/2018,27/02/2018,13/03/2018,15/02/2018,8,NA,2,81063.4,jdocco0501con
22333,HOMOLOGACION DE CONVENIO (CIVIL),S,0,04/12/2017,05/02/2018,21/02/2018,07/03/2018,05/02/2018,2,NA,2,0,jdofam0200pna
22740,MONITORIO APREMIO,S,0,15/12/2017,05/02/2018,21/02/2018,07/03/2018,15/02/2018,8,NA,2,25651.14,jdocco0502con
3249/V,VIOLENCIA FAMILIAR,s,0,15/02/2018,15/02/2018,17/02/2018,20/02/2018,16/02/2018,7,F,2,0,jdocco0000ssa
34360,MONITORIO EJECUTIVO,S,0,22/12/2017,07/02/2018,23/02/2018,09/03/2018,07/02/2018,8,NA,2,13103.43,jdopaz0100pna
34474,MONITORIO APREMIO,S,0,12/12/2017,05/02/2018,19/02/2018,05/03/2018,05/02/2018,8,NA,2,12547.34,jdopaz0200pna
21802,EJECUTIVO,S,0,24/07/2017,05/02/2018,21/02/2018,07/03/2018,19/02/2018,10,NA,2,28851.23,jdocco0502con
16356,MONITORIO EJECUTIVO,S,0,06/10/2017,05/02/2018,21/02/2018,07/03/2018,09/02/2018,8,NA,2,1308.33,jdopaz0000con
34558,MONITORIO APREMIO,S,0,13/12/2017,22/02/2018,08/03/2018,22/03/2018,22/02/2018,8,NA,2,11372.29,jdopaz0200pna
34944,MONITORIO EJECUTIVO,S,0,27/12/2017,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,2,4098.66,jdopaz0200pna
3098,RESTRICCIONES A LA CAPACIDAD,S,0,11/05/2011,26/12/2017,19/02/2018,NA,19/02/2018,7,FALSE,3,0,jdofam0001col
35064,MONITORIO APREMIO,S,0,29/12/2017,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,3,9482.77,jdopaz0200pna
35382,MONITORIO EJECUTIVO,S,0,14/02/2018,27/02/2018,13/03/2018,27/03/2018,27/02/2018,8,NA,2,11060.32,jdopaz0100pna
14145,MONITORIO APREMIO,S,0,01/02/2018,09/02/2018,27/02/2018,NA,27/02/2018,8,NA,3,17999.27,jdopaz0000uru
14024,MONITORIO APREMIO,S,0,27/12/2017,06/02/2018,22/02/2018,NA,22/02/2018,8,NA,2,999,jdopaz0000uru
48857,MONITORIO EJECUTIVO,S,0,18/12/2017,05/02/2018,21/02/2018,07/03/2018,05/02/2018,8,NA,2,29248.82,jdocco1001pna
34914,MONITORIO APREMIO,S,0,26/12/2017,28/02/2018,14/03/2018,28/03/2018,28/02/2018,8,NA,2,9626.89,jdopaz0200pna
34502,MONITORIO APREMIO,S,0,12/12/2017,19/02/2018,05/03/2018,19/03/2018,19/02/2018,8,NA,2,6440,jdopaz0200pna
22726,MONITORIO EJECUTIVO,S,0,14/12/2017,05/02/2018,21/02/2018,07/03/2018,15/02/2018,8,NA,2,38669.09,jdocco0502con
13171/C/S1 Fº3,ALIMENTOS,S,1,09/05/2016,22/02/2018,22/02/2018,22/02/2018,22/02/2018,7,F,3,0,jdofam0002uru
35062,MONITORIO APREMIO,S,0,29/12/2017,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,2,5696.04,jdopaz0100pna
34002,MONITORIO APREMIO,s,0,12/12/2017,01/02/2018,15/02/2018,01/03/2018,01/02/2018,8,NA,3,5479.18,jdopaz0100pna
15284,HOMOLOGACION DE CONVENIO (CIVIL),S,0,02/02/2018,28/02/2018,14/03/2018,28/03/2018,28/02/2018,7,NA,2,0,jdofam0001gch
34501,MONITORIO APREMIO,s,0,26/12/2017,27/02/2018,13/03/2018,27/03/2018,27/02/2018,8,NA,3,6270.33,jdopaz0100pna
34665,MONITORIO APREMIO,S,0,29/12/2017,23/02/2018,09/02/2018,23/03/2018,23/02/2018,8,NA,2,5401.93,jdopaz0100pna
34433,MONITORIO APREMIO,S,0,26/12/2017,22/02/2018,08/03/2018,22/03/2018,22/02/2018,8,NA,2,12236,jdopaz0100pna
34515,MONITORIO APREMIO,S,0,26/12/2017,15/02/2018,01/03/2018,15/03/2018,15/02/2018,8,NA,4,8926.58,jdopaz0100pna
15234,APREMIO,S,0,28/03/2017,07/02/2018,23/02/2018,09/03/2018,16/02/2018,10,NA,2,14887.95,jdopaz0000con
10742 3,RESTRICCIONES A LA CAPACIDAD,S,0,10/02/2011,22/11/2017,14/12/2017,07/02/2018,01/02/2018,NA,NA,3,0,jdofam0100pna
21171,ALIMENTOS,S,0,24/02/2017,09/02/2018,20/02/2018,27/02/2018,15/02/2018,7,NA,4,0,jdofam0200pna
4843Fº226-2017,MONITORIO EJECUTIVO,S,1,03/11/2017,20/02/2018,06/03/2018,20/03/2018,20/02/2018,8,NA,2,0,jdopaz0000col
1298,INCIDENTE AUMENTO CUOTA ALIMENTARIA,s,0,24/08/2016,20/02/2018,20/03/2018,NA,02/03/2018,NA,NA,2,0,jdofam0000tal
34982,MONITORIO EJECUTIVO,S,0,27/12/2017,06/02/2018,20/02/2018,06/03/2018,06/02/2018,8,NA,2,3397,jdopaz0200pna
16331,MONITORIO EJECUTIVO,S,0,06/10/2017,05/02/2018,21/02/2018,07/03/2018,06/02/2018,8,NA,2,9275,jdopaz0000con
21337,ALIMENTOS,S,0,27/11/2017,22/02/2018,08/03/2018,22/03/2018,22/02/2018,NA,NA,2,0,jdofam0400pna
34541,MONITORIO APREMIO,S,0,26/12/2017,23/02/2018,09/03/2018,23/03/2018,23/02/2018,8,NA,2,4273.63,jdopaz0100pna
34544,MONITORIO APREMIO,S,0,26/12/2017,26/02/2018,12/03/2018,26/03/2018,26/02/2018,8,NA,3,4680.35,jdopaz0100pna
34976,MONITORIO EJECUTIVO,S,0,27/12/2017,09/02/2018,27/02/2018,13/03/2018,09/02/2018,8,NA,2,999,jdopaz0200pna
9521/C-S2  42  XII,INCIDENTE CESE CUOTA ALIMENTARIA,S,1,10/12/2015,19/12/2017,05/02/2018,19/02/2018,01/02/2018,7,F,2,0,jdofam0002uru
22832,MONITORIO APREMIO,S,0,21/12/2017,05/02/2018,21/02/2018,07/03/2018,15/02/2018,8,NA,2,57056.56,jdocco0502con
12629/C/S1 Fº103,DIVORCIO,S,1,06/02/2017,26/12/2017,23/02/2018,09/03/2018,26/02/2018,7,F,2,0,jdofam0100uru
8856,EJECUCION DE SENTENCIA Y HONORARIOS,S,0,15/12/2004,08/02/2018,26/02/2018,13/03/2018,08/03/2018,NA,NA,3,0,jdocco0100pna
140/17,ORDINARIO ACCION DE REDUCCION,S,1,10/05/2017,25/09/2017,24/11/2017,23/02/2018,14/02/2018,10,C,5,0,jdocco0100gch
0360,COBRO DE PESOS Y ENTREGA DE CERTIFICACION LABORAL,S,1,13/10/2016,14/09/2017,30/10/2017,13/12/2017,28/02/2018,10,L,2,42623.45,jdocco0200lpa
5998/18,ACCION DE AMPARO,S,0,14/02/2018,16/02/2018,19/02/2018,23/03/2018,19/02/2018,7,F,2,0,jdofam0000cha
49226,MONITORIO APREMIO,S,0,29/12/2017,08/02/2018,26/02/2018,12/03/2018,08/02/2018,8,NA,2,26056.32,jdocco1001pna
13949,EJECUTIVO,S,0,19/09/2016,06/02/2018,22/02/2018,08/03/2018,09/02/2018,10,NA,2,9500,jdopaz0000con
35724,MONITORIO APREMIO,S,0,29/12/2017,21/02/2018,07/03/2018,21/03/2018,21/02/2018,8,NA,2,5524.21,jdopaz0200pna
1490,MONITORIO EJECUTIVO,S,1,25/08/2017,16/02/2018,01/03/2018,NA,20/02/2018,7,NA,2,0,jdopaz0000fel
11514/C-S2 Fº 43,INTERNACION JUDICIAL,S,1,01/03/2018,01/03/2018,02/03/2018,02/03/2018,01/03/2018,7,F,1,0,jdofam0100uru
3603,HOMOLOGACION DE CONVENIO (CIVIL),S,0,20/12/2017,21/02/2018,07/03/2018,21/03/2018,26/02/2018,1,NA,1,0,jdofam0000lpa
34478,MONITORIO APREMIO,S,0,26/12/2017,20/02/2018,06/03/2018,20/03/2018,20/02/2018,8,NA,3,7764.2,jdopaz0100pna
11967,ORDINARIO (CIVIL),S,1,02/12/2009,04/10/2017,04/12/2017,05/03/2017,09/02/2018,10,NA,2,0,jdocco0600pna
34983,MONITORIO APREMIO,s,0,29/12/2017,16/02/2018,02/03/2018,16/03/2018,16/02/2018,8,NA,2,4111.1,jdopaz0100pna
34798,MONITORIO APREMIO,S,0,26/12/2017,23/02/2018,09/03/2018,23/03/2018,23/02/2018,8,NA,2,10589.63,jdopaz0200pna
13374/18,ACCION DE AMPARO,S,1,05/02/2018,09/02/2018,12/02/2018,12/02/2018,09/02/2018,10,C,2,0,jdocco0100cha
17020,CUIDADO PERSONAL DEL HIJO O DE LOS HIJOS,S,1,04/04/2013,08/02/2018,26/02/2018,12/03/2018,08/02/2018,7,NA,3,0,jdofam0200pna
34815,MONITORIO APREMIO,S,0,29/12/2017,16/02/2018,02/03/2018,16/03/2018,16/02/2018,8,NA,2,8495.55,jdopaz0100pna
4750/17,MONITORIO EJECUTIVO,S,1,27/12/2017,02/02/2018,20/02/2018,06/03/2018,26/02/2018,8,C,2,0,jdopaz0000cha
1945,MONITORIO APREMIO,S,1,11/12/2017,26/12/2017,02/02/2018,09/02/2018,01/02/2018,8,C,1,0,jdopen0000fel
7979,ACCIDENTE DE TRABAJO,S,1,27/07/2015,25/08/2017,10/10/2017,NA,14/02/2018,10,L,10,0,jdocco0100nog
34598,MONITORIO EJECUTIVO,S,0,18/12/2017,05/02/2018,19/02/2018,05/03/2018,05/02/2018,8,NA,2,7341.52,jdopaz0200pna
